Name,RA_hms,DEC_dms,RA,DEC,kg5,u,g,r,i,z,iz,n86,NaI,clear,bowen,bcont,rcont,Ha_narrow,Ha_broad,Type,SpType,fname,Gaia_DR3_ID,Variability
LTT3218,08:41:32.56,-32:56:34.90,130.38567,-32.943028,11.912,12.257,11.870,11.905,12.015,12.210,12.071,12.156,11.855,11.949,11.810,11.809,12.151,12.161,12.151,Primary,DA,V2.SPSS008.ascii,5639391810273308416,Constant
G114-25,08:59:03.37,-06:23:46.19,134.76404,-6.3961639,12.003,12.982,12.144,11.739,11.557,11.556,11.557,11.537,11.781,11.878,12.166,12.001,11.699,11.702,11.699,Secondary,F7,V2.SPSS115.ascii,5757389920689415040,Constant
WD0859-039,09:02:17.30,-04:06:55.45,135.57208,-4.1154028,13.129,12.862,13.002,13.388,13.718,14.073,13.815,13.968,13.304,13.260,12.901,13.073,13.692,13.709,13.692,Secondary,DA2,V2.SPSS307.ascii,5762406957886626816,Constant
GD108,10:00:47.37,-07:33:30.50,150.19737,-7.5584722,13.482,13.207,13.357,13.759,14.083,14.413,14.174,14.299,13.689,13.614,13.306,13.477,13.940,13.955,13.940,Primary,B,V2.SPSS010.ascii,3772994667772794112,Constant
LTT3864,10:32:13.60,-35:37:41.80,158.05667,-35.628278,12.248,13.156,12.339,12.033,11.917,11.934,11.922,11.931,12.059,12.159,12.345,12.223,12.027,12.033,12.027,Primary,F,V2.SPSS041.ascii,5444093531284061568,Constant
WD1031-114,10:33:42.76,-11:41:38.35,158.42817,-11.693986,12.950,12.639,12.825,13.222,13.549,13.886,13.642,13.796,13.139,13.083,12.729,12.907,13.518,13.545,13.518,Secondary,DA2,V2.SPSS119.ascii,3754712881779364992,Constant
WD1034+001,10:37:03.81,-00:08:19.30,159.26587,-0.13869444,13.072,12.449,12.950,13.474,13.880,14.262,13.984,14.157,13.395,13.234,12.937,13.108,13.649,13.652,13.649,Secondary,DOZ1,V2.SPSS308.ascii,3806885288337214848,Constant
Feige34,10:39:36.74,43:06:09.25,159.90308,43.102569,11.023,10.449,10.904,11.396,11.760,12.125,11.860,11.986,11.323,11.176,10.869,11.063,11.557,11.555,11.557,Primary,DO,V2.SPSS011.ascii,781164326766404736,Constant
WD1105-048,11:07:59.95,-05:09:25.90,166.99979,-5.1571944,13.091,13.203,12.963,13.247,13.525,13.834,13.611,13.743,13.161,13.197,12.830,12.956,13.617,13.626,13.617,Secondary,DA3,V2.SPSS121.ascii,3788194488314248832,Constant
SDSS09310,11:38:02.62,57:29:23.89,174.51092,57.489969,15.087,15.890,15.081,14.990,15.007,15.099,15.035,15.053,14.983,15.073,15.039,15.025,15.065,15.060,15.065,Secondary,A0/F3,V2.SPSS320.ascii,845789153480087936,Constant
LTT4364,11:45:42.92,-64:50:29.46,176.42883,-64.841517,11.517,11.748,11.511,11.478,11.550,11.711,11.597,11.644,11.462,11.534,11.537,11.505,11.496,11.496,11.496,Primary,DQ6,V2.SPSS012.ascii,5332606522595645952,Constant
Feige56,12:06:47.23,11:40:12.64,181.69679,11.670178,11.007,11.099,10.885,11.196,11.479,11.737,11.552,11.668,11.138,11.117,10.830,10.977,11.344,11.346,11.344,Primary,B5p,V2.SPSS026.ascii,3918811315733520640,Constant
HD106355,12:14:10.53,-17:14:20.19,183.54387,-17.238942,10.211,12.796,10.584,9.734,9.370,9.190,9.312,9.251,9.815,9.918,10.625,10.357,9.616,9.615,9.616,Secondary,G8IV,V2.SPSS129.ascii,3520997013687539712,Constant
Feige66,12:37:23.52,25:03:59.87,189.348,25.066631,10.389,9.927,10.258,10.735,11.115,11.482,11.215,11.365,10.659,10.540,10.206,10.397,10.916,10.911,10.916,Primary,O,V2.SPSS013.ascii,3959631234670040704,Constant
SA104-428,12:41:41.28,-00:26:26.20,190.422,-0.44061111,12.762,15.019,13.041,12.339,12.072,11.956,12.036,11.954,12.402,12.536,13.055,12.866,12.244,12.243,12.244,Secondary,G8,V2.SPSS314.ascii,3695913095870312576,Constant
SA104-490,12:44:33.46,-00:25:51.70,191.13942,-0.43102778,12.676,13.806,12.758,12.447,12.368,12.401,12.378,12.368,12.464,12.594,12.742,12.646,12.447,12.440,12.447,Secondary,G3,V2.SPSS315.ascii,3683915053189161728,Constant
GD153,12:57:02.33,22:01:52.52,194.25971,22.031256,13.228,12.723,13.102,13.578,13.963,14.341,14.066,14.237,13.497,13.381,13.037,13.231,13.792,13.794,13.792,Pillar,DA1,V2.SPSS003.ascii,3944400490365194368,Constant
G14-24,13:02:01.58,-02:05:21.42,195.50658,-2.0892833,12.914,14.203,13.114,12.581,12.347,12.264,12.321,12.251,12.644,12.739,13.141,12.944,12.512,12.513,12.512,Secondary,K0,V2.SPSS130.ascii,3685507214745543040,Constant
GJ2097,13:07:04.31,20:48:38.54,196.76796,20.810706,12.394,15.785,13.141,11.842,10.840,10.365,10.672,10.428,12.072,11.698,13.191,12.941,11.392,11.399,11.392,Secondary,M1,V2.SPSS334.ascii,3943234217765374336,Constant
HZ44,13:23:35.26,36:07:59.51,200.89692,36.133197,11.532,11.000,11.409,11.888,12.286,12.669,12.390,12.570,11.817,11.687,11.380,11.535,12.066,12.068,12.066,Primary,O,V2.SPSS014.ascii,1473687671071803520,Constant
SA105-663,13:37:30.34,-00:13:17.37,204.37642,-0.22149167,8.846,9.793,8.847,8.730,8.705,8.826,8.741,8.793,8.724,8.820,8.803,8.782,8.790,8.787,8.790,Primary,F2,V2.SPSS028.ascii,3662718736748087424,Constant
GJ521,13:39:24.10,46:11:11.37,204.85042,46.186492,10.205,13.335,10.863,9.666,8.788,8.370,8.643,8.423,9.875,9.599,10.887,10.701,9.279,9.285,9.279,Secondary,M2,V2.SPSS336.ascii,1503625448550796032,Constant
HD121968,13:58:51.17,-02:54:52.32,209.71321,-2.9145333,10.174,9.938,10.058,10.425,10.735,11.045,10.821,10.969,10.368,10.299,10.020,10.164,10.563,10.567,10.563,Primary,B1,V2.SPSS030.ascii,3657546118655166080,Constant
WD1408+323,14:10:26.95,32:08:36.10,212.61229,32.143361,13.973,13.925,13.842,14.172,14.474,14.810,14.566,14.697,14.082,14.091,13.722,13.863,14.515,14.511,14.515,Secondary,DA3,V2.SPSS248.ascii,1478363619145920640,
SDSS09626,14:29:51.06,39:28:25.43,217.46275,39.473731,15.067,15.926,15.005,15.044,15.143,15.264,15.179,15.226,15.015,15.093,14.939,14.988,15.181,15.161,15.181,Secondary,A0,V2.SPSS324.ascii,1487827631122772992,Constant
G15-10,15:09:46.02,-04:45:06.61,227.44175,-4.7518361,12.111,13.169,12.281,11.813,11.617,11.581,11.606,11.545,11.866,11.965,12.313,12.123,11.760,11.759,11.760,Secondary,G2,V2.SPSS132.ascii,6335641365117256192,Constant
WD1509+322,15:11:27.66,32:04:17.80,227.86525,32.071611,14.136,14.273,14.013,14.279,14.549,14.845,14.631,14.752,14.185,14.238,13.872,13.989,14.669,14.662,14.669,Secondary,DA3,V2.SPSS250.ascii,1276688069644366592,Constant
M5-S1490,15:17:38.64,02:02:25.60,229.411,2.0404444,14.225,16.212,14.511,13.809,13.489,13.356,13.447,13.366,13.883,13.981,14.549,14.280,13.713,13.711,13.713,Secondary,,V2.SPSS313.ascii,4421525074384092032,Constant
G167-50,15:35:31.55,27:51:02.20,233.88146,27.850611,13.614,14.767,13.794,13.304,13.098,13.053,13.084,13.043,13.353,13.460,13.808,13.649,13.248,13.237,13.248,Secondary,G,V2.SPSS191.ascii,1272306378368710528,Constant
SA107-544,15:36:48.10,-00:15:07.11,234.20042,-0.251975,9.121,10.207,9.139,8.973,8.944,9.017,8.966,9.007,8.963,9.081,9.089,9.063,9.042,9.036,9.042,Primary,F3,V2.SPSS032.ascii,4416639085227405952,Constant
LTT6248,15:38:59.66,-28:35:36.87,234.74858,-28.593575,11.874,12.738,11.973,11.658,11.530,11.546,11.536,11.506,11.687,11.782,11.994,11.853,11.649,11.644,11.649,Primary,A,V2.SPSS033.ascii,6210089815971933056,Constant
G179-54,15:46:08.25,39:14:16.40,236.53438,39.237889,13.593,14.609,13.735,13.320,13.154,13.123,13.145,13.099,13.358,13.466,13.741,13.610,13.282,13.269,13.282,Secondary,F,V2.SPSS192.ascii,1377578947371340032,Constant
G224-83,15:46:14.68,62:26:39.60,236.56117,62.444333,12.823,13.778,12.959,12.561,12.398,12.370,12.390,12.338,12.606,12.701,12.982,12.818,12.525,12.523,12.525,Secondary,K,V2.SPSS133.ascii,1639946061258413312,Constant
G16-20,15:58:18.62,02:03:06.11,239.57758,2.0516972,10.882,11.977,11.017,10.613,10.447,10.409,10.436,10.384,10.658,10.755,11.027,10.875,10.578,10.584,10.578,Secondary,K,V2.SPSS134.ascii,4412702764879270656,Constant
P177-D,15:59:13.57,47:36:41.90,239.80654,47.611639,13.565,14.932,13.694,13.278,13.139,13.148,13.142,13.138,13.302,13.445,13.684,13.562,13.250,13.250,13.250,Primary,G0,V2.SPSS043.ascii,1399559249961569792,Constant
WD1606+422,16:08:22.20,42:05:43.20,242.0925,42.095333,13.869,14.167,13.759,13.962,14.186,14.457,14.263,14.372,13.875,13.953,13.620,13.711,14.345,14.357,14.345,Secondary,DA4,V2.SPSS193.ascii,1384866854036828032,Constant
WD1615-154,16:17:55.26,-15:35:51.90,244.48025,-15.59775,13.340,12.920,13.216,13.652,13.983,14.297,14.070,14.218,13.571,13.478,13.131,13.316,13.927,13.937,13.927,Secondary,DA2,V2.SPSS135.ascii,4328293291578459392,
EG274,16:23:33.84,-39:13:46.16,245.891,-39.229489,10.962,10.717,10.825,11.240,11.564,11.901,11.657,11.806,11.146,11.096,10.720,10.890,11.562,11.583,11.562,Primary,DA2,V2.SPSS016.ascii,6018034958869558912,
G180-58,16:28:16.87,44:40:38.28,247.07029,44.6773,11.399,12.547,11.571,11.094,10.897,10.843,10.881,10.821,11.147,11.249,11.594,11.413,11.039,11.028,11.039,Secondary,G/K,V2.SPSS136.ascii,1406378695954996352,Constant
